"feature","id","fc","pval","qval"
"gene","MSTRG.5204",2.2345105763478,0.000217675211106716,0.0102260432784674
"gene","MSTRG.3108",4.00689286402301,0.000217745402881997,0.0102260432784674
"gene","MSTRG.680",0.571824794543574,0.000219390493090166,0.0102333208320548
"gene","MSTRG.14290",2.78576971727333,0.000220401344588006,0.0102333208320548
"gene","MSTRG.10455",3.90068521707356,0.000221418171637122,0.0102333208320548
"gene","MSTRG.11771",0.620933139118011,0.000222739346961043,0.0102333208320548
"gene","MSTRG.426",0.686705810834651,0.000223726421448522,0.0102333208320548
"gene","MSTRG.11203",2.27936948395405,0.000224800754367704,0.0102333208320548
"gene","MSTRG.8753",0.56776747625371,0.000224897166166471,0.0102333208320548
"gene","MSTRG.13518",0.411003899260822,0.000227591202728861,0.0102563640333587
"gene","MSTRG.3567",0.0974826776594135,0.000228280896366728,0.0102563640333587
"gene","MSTRG.8105",1.68383038204953,0.000229217932594783,0.0102563640333587
"gene","MSTRG.15806",1.37675499267493,0.000229410760269499,0.0102563640333587
"gene","MSTRG.15862",0.603346323094518,0.000231809686848994,0.0103083139175001
"gene","MSTRG.4660",1.90834873981603,0.000232586492961762,0.0103083139175001
"gene","MSTRG.8128",0.140426329022931,0.000236638748042028,0.0103871583455305
"gene","MSTRG.5590",0.1423259534887,0.000236985184974503,0.0103871583455305
"gene","MSTRG.14028",2.54642217142637,0.000237409167108238,0.0103871583455305
"gene","MSTRG.9590",1.94553811928114,0.000239719838688091,0.0104436242914412
"gene","MSTRG.15278",1.44438983733161,0.000242161449784506,0.0104842826750241
"gene","MSTRG.5331",0.321662478846431,0.000242835220356508,0.0104842826750241
"gene","MSTRG.4623",0.652971313726394,0.00024401476455882,0.0104842826750241
"gene","MSTRG.13800",0.696791694313905,0.000244749322067861,0.0104842826750241
"gene","MSTRG.3976",0.60843144823244,0.000247371935868879,0.0105131034027741
"gene","MSTRG.6187",0.653634290435657,0.000247475866386848,0.0105131034027741
"gene","MSTRG.5918",2.74094076222618,0.000249323041903171,0.0105151181590797
"gene","MSTRG.796",0.74460884003853,0.000249577428468095,0.0105151181590797
"gene","MSTRG.11220",0.313255718342112,0.000251764285362333,0.0105637817768015
"gene","MSTRG.5022",0.770417950930835,0.000256064981634774,0.0106568487874373
"gene","MSTRG.5293",1.39102519797876,0.000256086466511984,0.0106568487874373
"gene","MSTRG.2572",0.721224145966381,0.000257105064514263,0.0106568487874373
"gene","MSTRG.9015",0.495065144711142,0.000261740642682362,0.0108052447571856
"gene","MSTRG.7806",0.831720786937454,0.000264478514124145,0.0108744217976024
"gene","MSTRG.15798",0.684399352378929,0.00026752325435897,0.0109556123125085
"gene","MSTRG.7020",2.04679023764558,0.000270562486600845,0.0110359312263723
"gene","MSTRG.6548",0.343556735230728,0.000276693883580537,0.0111552735840656
"gene","MSTRG.9711",1.62807710410744,0.000276704575701614,0.0111552735840656
"gene","MSTRG.3566",0.0127875953213555,0.000277443524918652,0.0111552735840656
"gene","MSTRG.3084",2.24476110305056,0.000277846724354047,0.0111552735840656
"gene","MSTRG.17122",0.621020428053353,0.00028109176011526,0.0112037748592457
"gene","MSTRG.8756",0.397920907867,0.000281393044193057,0.0112037748592457
"gene","MSTRG.9096",1.64629386513839,0.000282337752850692,0.0112037748592457
"gene","MSTRG.10836",0.758657927965615,0.00028692551078624,0.0113418663298437
"gene","MSTRG.8662",1.79421660903606,0.000295581953934199,0.0116391078629936
"gene","MSTRG.8203",0.645677071479567,0.000297018781330705,0.0116508746485201
"gene","MSTRG.5130",0.513568261333022,0.00030149207909802,0.0117812057473494
"gene","MSTRG.5980",0.366359260633858,0.000303838513965204,0.0118277517337481
"gene","MSTRG.13823",1.50085978167758,0.000305280983764922,0.0118388890597927
"gene","MSTRG.7263",1.37415714190502,0.000306900422319067,0.0118567793347268
"gene","MSTRG.12024",0.863219511820492,0.000308408397071913,0.0118702449970761
"gene","MSTRG.6650",0.729368233455482,0.000310382974565315,0.0118745946034604
"gene","MSTRG.9427",8.74042553361365,0.000311522667056918,0.0118745946034604
"gene","MSTRG.302",0.729058226439021,0.000312000971706472,0.0118745946034604
"gene","MSTRG.1075",4.13308359708528,0.000314375434707248,0.0119206507427141
"gene","MSTRG.12797",2.00839682540704,0.000318774469563632,0.0120155382444807
"gene","MSTRG.4251",1.29414766235195,0.000319225083268093,0.0120155382444807
"gene","MSTRG.16210",0.629425014476552,0.000321064307754915,0.0120185972946999
"gene","MSTRG.125",1.46817445395572,0.000321742453953888,0.0120185972946999
"gene","MSTRG.2168",3.84918027187352,0.000322828116433138,0.0120185972946999
"gene","MSTRG.452",2.39719753512761,0.000325836224384091,0.0120540137650049
"gene","MSTRG.12331",0.167143939839179,0.000326393742623665,0.0120540137650049
"gene","MSTRG.18234",0.49289966890843,0.000327311567363875,0.0120540137650049
"gene","MSTRG.10377",2.11377968227045,0.000329873646830903,0.0120666616659821
"gene","MSTRG.13640",0.0627773557540621,0.000330012235443933,0.0120666616659821
"gene","MSTRG.11571",0.352320812017674,0.000331273442060298,0.012069670817841
"gene","MSTRG.11837",0.108143134420917,0.000334687132645728,0.0120813186801703
"gene","MSTRG.10990",0.632580992531629,0.000334832314756173,0.0120813186801703
"gene","MSTRG.14106",3.39248497210978,0.000335774288524604,0.0120813186801703
"gene","MSTRG.3778",2.90380483378616,0.000337371448943635,0.0120813186801703
"gene","MSTRG.12232",1.68220347368413,0.000337493371999287,0.0120813186801703
