"","logFC","logCPM","PValue","FDR"
"MSTRG.11016",0.863988116537772,7.11386447338463,0.00583513154046177,0.0389222158705513
"MSTRG.7558",0.863216644628205,2.58082255770478,0.00592804181642527,0.0394122408352823
"MSTRG.18221",0.861159539646851,4.88060190578782,0.000548328441494188,0.00560779970443173
"MSTRG.6434",0.859158676110789,6.45530025666304,0.00614164808104683,0.0405882829703964
"MSTRG.11942",0.859004934083668,3.41044713890465,0.00185501024862563,0.0152000839779567
"MSTRG.5549",0.858284618336587,2.17677222410686,0.00782808479163405,0.049629567813488
"MSTRG.11994",0.85687777917551,6.26599225576158,0.0034741675370219,0.0255570945252186
"MSTRG.2368",0.850246033162273,5.97671999835731,0.00320779318587581,0.0238427659781478
"MSTRG.10553",0.849386585498928,5.05499562600199,0.00182385078849536,0.0149851524243943
"MSTRG.9252",0.84844978856776,7.17874540033007,0.00424280159644715,0.0301181946367761
"MSTRG.6843",0.848393474427691,4.83561624335541,0.000967086701967644,0.00885525172886036
"MSTRG.976",0.847015168351821,5.03272247990675,0.00157076076798108,0.0132918934854906
"MSTRG.482",0.846985956905455,5.02035847490678,0.00240582486303112,0.0188497618134397
"MSTRG.13742",0.843879413082344,5.71063637658579,0.00311277342560841,0.0231932137594352
"MSTRG.4870",0.84097390415611,4.35821288433887,0.00123270515177715,0.0108778625875255
"MSTRG.6316",0.84084199912579,3.29805514232888,0.00498538726387849,0.0342886363850466
"MSTRG.6115",0.840104841518486,3.8896272951641,0.00202334899588843,0.016283205684979
"MSTRG.8082",0.838272438803224,5.77760097974726,0.00370032868640981,0.0269598543000259
"MSTRG.18405",0.837052271456145,4.01299234190732,0.00118112808324844,0.0104726023663443
"MSTRG.18181",0.833517261658305,4.87033804979394,0.00348696562238372,0.025606376181942
"MSTRG.4067",0.832163570132027,4.14591881875388,0.0054901787983763,0.0370480433897091
"MSTRG.15613",0.826414729056536,4.56051448400261,0.00096863986195157,0.00886279963982776
"MSTRG.4631",0.825013775084656,2.74536559137785,0.00748397480273133,0.0478063470144184
"MSTRG.8330",0.822939060618668,3.60289133639081,0.00703069155738914,0.0453304397337497
"MSTRG.4618",0.818705652992995,3.48065615100774,0.00232524077160332,0.018300924131195
"MSTRG.12919",0.817455488025925,3.89301629051881,0.00171088654620518,0.0142985432315154
"MSTRG.3477",0.81718409237839,7.58710059453036,0.0063078029212569,0.0413269846565107
"MSTRG.3069",0.815463775240778,3.95232367660878,0.00250893270146466,0.0195192716889381
"MSTRG.12941",0.812242048639007,6.71725232092183,0.00613194024895627,0.0405672158114194
"MSTRG.14189",0.810795176524429,5.9361837601006,0.00570180430997037,0.0381374809731791
"MSTRG.5207",0.809296824395673,5.099633092666,0.00228531320814432,0.0180333605522615
"MSTRG.8857",0.801488775854248,3.06112994730048,0.00523748953396325,0.0357395469882116
"MSTRG.13732",0.800230422163861,3.89596380287622,0.00511430048268567,0.0350003243315091
"MSTRG.17401",0.798625187455583,6.12006866746073,0.0062898897256438,0.041231837770258
"MSTRG.1223",0.790085588395189,4.41542370081429,0.00478896945714395,0.0331736936802672
"MSTRG.17423",0.789504320179946,5.72098767979943,0.00617144525517425,0.0406746744189262
"MSTRG.7546",0.789192063484596,3.33037660285267,0.0063933396882712,0.0417973175319236
"MSTRG.8792",0.787092120385425,5.27709709658521,0.00558334393764689,0.037510200155683
"MSTRG.7975",0.7841244379831,4.04142925676254,0.00239463479181157,0.0187862961731798
"MSTRG.9169",0.783225324476051,4.51292472461085,0.00414012538579672,0.0295445567437137
"MSTRG.6440",0.778035904387027,6.44218736558258,0.00766256360797667,0.0487581232197783
"MSTRG.12257",0.776453748935926,4.4021350327578,0.00661176893738298,0.043035567471708
"MSTRG.1472",0.774581691139247,3.25819619869171,0.00452691174492518,0.0317641354981479
"MSTRG.16497",0.770885062524255,5.1341296887756,0.00294100888368144,0.0221852779314928
"MSTRG.7404",0.769650316464292,4.63175351626641,0.00377790373987095,0.0274083359446496
"MSTRG.13731",0.767375395803429,4.84662753870495,0.00222704910164582,0.0176999458013158
"MSTRG.4419",0.757379599094578,3.81199979562385,0.00550530426295453,0.0371295062881459
"MSTRG.8132",0.749914962728916,5.02021514583843,0.00785847502809223,0.04970931576159
"MSTRG.5917",0.74659738544958,4.37857039352279,0.00509462983700321,0.0349018021509628
"MSTRG.11989",0.74387284745201,4.47418127749962,0.00270082006072407,0.0206813425304815
"MSTRG.17419",0.735464573423913,3.17488830390057,0.00649604853643076,0.0424004026854525
"MSTRG.16881",0.734338765589034,4.84879455090697,0.00595505182910563,0.039548569220057
"MSTRG.12921",0.729779971650154,4.83395174803778,0.00470399102550532,0.0327085204190118
"MSTRG.8345",0.72728054268111,5.01102613405741,0.0039562214302658,0.028420325805196
"MSTRG.13303",0.724329744135242,5.05561371422492,0.0061506497045329,0.0406036375717264
"MSTRG.12360",0.724048624026993,4.84903239636153,0.0046714896833815,0.0325718546731187
"MSTRG.6015",0.722211817311131,3.43603312748672,0.00734792368654662,0.0471010817229346
"MSTRG.2169",0.719638369444186,5.04383612607792,0.00388039546259767,0.028019957734672
"MSTRG.13823",0.714905034935738,5.32216078706787,0.00725763819348917,0.0465714408616509
"MSTRG.421",0.708998376846703,4.14225971407642,0.00632453342999616,0.0413919948916864
"MSTRG.13434",0.708358036141235,4.49325315628876,0.00420705119033674,0.0299518398562615
"MSTRG.7664",0.701824616577363,4.65639837498032,0.00470286232288612,0.0327085204190118
"MSTRG.15938",0.698670960458178,3.81094339828638,0.00770744788339202,0.0489924549200454
"MSTRG.7309",0.69540058545219,4.82553575325141,0.00411739498200595,0.0294341698890019
"MSTRG.7263",0.685982857116895,4.60829583510001,0.00519500304303471,0.0354894589906192
"MSTRG.17317",0.672277163786249,4.54894176108785,0.00743831257743701,0.0475801583070142
"MSTRG.15806",0.659299602245024,4.2682173263837,0.00731284262467625,0.0469009316012992
"MSTRG.10990",-0.673246142594532,4.2617190391065,0.00615597878380127,0.0406167672333279
"MSTRG.9565",-0.674388668034307,4.14684619865932,0.00754501793064501,0.0480900148867111
"MSTRG.13068",-0.680143647159797,4.52889375711324,0.00679174602167137,0.0439998037418881
"MSTRG.2044",-0.686778396761256,4.21361160340618,0.00627098781346585,0.0411522999523717
"MSTRG.330",-0.696203950568676,4.08914553102927,0.00637583725363328,0.0417053152254872
"MSTRG.11327",-0.710435995153938,3.79291366759726,0.00596526587222752,0.0395947778418595
"MSTRG.14889",-0.711434539235616,4.48411780708664,0.00439076303205325,0.030987625345193
"MSTRG.7039",-0.718645497428052,4.93135649235676,0.00663265117354112,0.0431299669894439
"MSTRG.7696",-0.718850485404462,4.46509017281722,0.00612783177232722,0.0405672158114194
"MSTRG.8973",-0.719383639008097,4.67185865203322,0.00408639362594728,0.0292469373110765
"MSTRG.1701",-0.723644135033925,4.63114328058962,0.00512588197296413,0.0350566506137479
"MSTRG.10271",-0.725160447420118,4.24049324440437,0.00653624954503673,0.0425942092538299
"MSTRG.16443",-0.73229606179035,3.52379082874619,0.00571003621194238,0.038171544990225
"MSTRG.9628",-0.735356729059814,4.54918163309915,0.003782170042362,0.0274083359446496
"MSTRG.13692",-0.735714401560177,4.06682441124368,0.00437419627472769,0.0309065814646651
"MSTRG.3085",-0.736308071522287,4.78542175912012,0.0046172941271319,0.0323237170903419
"MSTRG.2928",-0.7438922725019,3.95730401092833,0.00752351923022284,0.0479989474499002
"MSTRG.17794",-0.751031882823282,3.73435255526318,0.00715854682355254,0.0460084193310776
"MSTRG.1399",-0.751063373400483,4.8055685723426,0.00554445882685692,0.037303257887082
"MSTRG.9283",-0.758826308849137,3.41146243295153,0.00694863851234279,0.0448966229065294
"MSTRG.14454",-0.762032771423939,4.38859071617652,0.00533399857875393,0.036179198348918
"MSTRG.17832",-0.762726547489206,3.61995172885438,0.00621159957434632,0.0408507576117097
"MSTRG.78",-0.762737403704101,3.56727097467187,0.00744749151379275,0.0476138258715667
"MSTRG.14545",-0.764197351987194,4.30068902674428,0.00363535451758457,0.0265182429117147
"MSTRG.14282",-0.764228957695075,5.17013655477874,0.00394996074283531,0.0284042120833101
"MSTRG.3502",-0.76517103673198,3.86456769966854,0.00701684522268112,0.0452651659988342
